dataset,pred_len,base_mse,cgrc_mse,improvement,n,p_value,mean_agreement,gate_rate
ETTh1,96,7.258684509566852,6.694176567668934,7.777000655613348,56,0.0314457922761851,0.54293153701084,0.6069568452380951
ETTh1,192,10.500732604946409,9.236876502134105,12.035885022126543,28,0.053075985480442595,0.531249995210341,0.5738467261904763
ETTh1,336,12.100842408835888,11.191299367912652,7.516361342406198,16,0.09402357587239693,0.5565476045012474,0.5946800595238095
ETTh1,720,10.502020903996058,10.13443128691749,3.5001798267102973,7,0.35924080154744575,0.45166664677006857,0.4920634920634921
ETTh2,96,31.641331404447556,31.63082600226689,0.033201517491104095,56,0.9796893098582719,0.5138392711856535,0.57421875
ETTh2,192,35.07324193205152,35.10407665626426,-0.08791523826760958,28,0.961233053285364,0.5660714214401585,0.632626488095238
ETTh2,336,42.40625721216202,42.57080817536541,-0.38803462984277803,16,0.8064927170894909,0.5081101227551699,0.5695684523809523
ETTh2,720,44.387127195085796,44.42013020962235,-0.07435267074506215,7,0.9430966751855331,0.5282539512429919,0.6160714285714286
ETTm1,96,2.8245907464375097,2.704261570274068,4.260057012337296,240,0.0005682292446735967,0.544270815141499,0.5963107638888889
ETTm1,192,4.312040562927723,4.048753284305508,6.105862752910942,120,0.0023212995611073236,0.5838367859522502,0.6532986111111112
ETTm1,336,6.516507356482394,6.343408961591514,2.656306291416786,68,0.154387126309402,0.5778711389969376,0.6299019607843137
ETTm1,720,9.466066636145115,9.032944765519595,4.575521040298751,32,0.09559980169967966,0.6417187480255961,0.7328559027777778
ETTm2,96,15.678161282433818,15.152105960770179,3.355338117697794,240,0.007009873946618083,0.5773090098674099,0.6493923611111112
ETTm2,192,22.929526241123675,22.0955766535274,3.637011854613041,120,0.0366229721109289,0.5905381730447213,0.6651909722222222
ETTm2,336,32.851362982217005,30.773497864362565,6.325049949919044,68,0.004287556644142673,0.6035188848481459,0.6711309523809524
ETTm2,720,49.85808911919594,45.58284934639823,8.57481674152589,32,0.0032805968446970053,0.6052777590230107,0.6688368055555556
Weather,96,139.13007259025022,125.49811970776562,9.79799164098178,104,0.0020806031813653523,0.6329727488068434,0.7096354166666667
Weather,192,180.87177236263568,160.09377689846497,11.487693846728188,52,0.011479607726769057,0.6670272292999121,0.7411858974358976
Weather,336,225.22857199044063,208.81088294482748,7.289345619218311,29,0.01413442984726996,0.6210180459351375,0.700636288998358
Weather,720,278.39758799626276,257.65634859121405,7.450222379558524,13,0.07658229546409487,0.5673931561983548,0.6537393162393162
ECL,96,50539.98617865115,50782.278735012675,-0.47940764270306857,49,0.928351122068125,0.5778060975123425,0.6290391156462585
ECL,192,62465.1200764974,62546.47134124938,-0.13023470482783958,24,0.9846579257618434,0.5841145565112432,0.6328125
ECL,336,67473.4767717634,62795.12678449108,6.933613341279797,14,0.496139978382781,0.5613095036574772,0.6471088435374149
ECL,720,79309.55419921875,77629.70345691616,2.1180937899145764,6,0.8842801922240726,0.6061111092567444,0.6738425925925927
Traffic,96,3.6369898401561285e-05,4.9147624160004716e-05,-35.132695773202684,31,1.0832900834328487e-06,0.9177419312538639,0.9368279569892471
Traffic,192,3.943190577047062e-05,5.22782108999673e-05,-32.5784536113314,15,0.000442602201847315,0.9179166595141093,0.9371527777777777
Traffic,336,3.962729317663616e-05,4.99312148565664e-05,-26.00208304413112,8,0.056060137482328895,0.9456845298409462,0.953125
Traffic,720,7.866460691730026e-05,8.774292288825707e-05,-11.5405343352199,4,0.3238426669506884,0.9333333671092987,0.9569444444444446
