dataset,pred_len,norm_base,norm_rcaf,improvement
ETTh1,96,0.08547300003109533,0.0796978631416303,6.75667975543624
ETTh1,192,0.09176110569387674,0.0882715383278472,3.802882865940007
ETTh1,336,0.11552948807366192,0.10621101572178304,8.06588214598285
ETTh1,720,0.12108178809285164,0.1189430904175554,1.7663248197624757
ETTm1,96,0.03302743835718234,0.03164655930881739,4.181005603374781
ETTm1,192,0.050567243713885546,0.04739036505705998,6.282483330119118
ETTm1,336,0.08728965072204238,0.08181877240228157,6.267499382236968
ETTm1,720,0.11966039962135255,0.1101165228174068,7.975802215391157
ETTm2,96,0.11523056960808778,0.10987257724759059,4.6498011584255226
ETTm2,192,0.16851076301660572,0.15948062488946635,5.3587901244322955
ETTm2,336,0.2851275096283011,0.2667517848852752,6.444739326268772
ETTm2,720,0.3476763393264264,0.32290386594831944,7.125153648965618
Weather,96,0.0009437469814814064,0.0008651734502616539,8.32569881139276
Weather,192,0.001226889216503388,0.0011153454352797081,9.091593578561042
Weather,336,0.001527770235733097,0.0014255910523231783,6.688125021684842
Weather,720,0.0018884473415360285,0.0017400306096533313,7.859193561731923
ECL,96,0.16441705515037994,0.15956247970461845,2.9525984645092733
ECL,192,0.2032119790868213,0.19574879381495217,3.672610889085684
ECL,336,0.21950518393090793,0.20342802149908884,7.32427459976507
ECL,720,0.2580103812118371,0.25212016701698303,2.282936898580827
